w3stress,w3stressmathp,w3stressamount,w3stressunder,w3stressscore,w3streefinish,w3wander1,w3wander2,w3wander3,w3wander4,rid
3,3,4,3,4,5,2,2,2,2,166670605
1,2,3,3,3,2,1,1,1,1,166774080
2,3,2,3,4,2,2,2,2,1,166989487
4,4,3,5,2,3,3,3,3,4,166846238
,,,,,,,,,,166794534
4,4,4,3,4,4,4,1,1,1,166660807
3,4,2,4,4,2,3,3,3,3,166568786
,,,,,,,,,,166585575
,,,,,,,,,,166580682
1,1,1,2,2,3,2,2,1,1,166841706
,,,,,,,,,,166857478
2,3,2,3,4,4,4,4,4,4,166581334
2,4,2,4,2,4,2,2,2,2,166774701
1,1,1,1,2,1,1,1,1,1,166700303
,,,,,,,,,,166857223
,,,,,,,,,,166709931
1,2,1,3,2,2,2,3,2,2,166707449
3,4,3,5,5,5,5,4,4,4,166857476
,,,,,,,,,,166855449
4,2,3,4,4,4,2,4,3,4,166988774
,,,,,,,,,,166643791
,,,,,,,,,,166575840
,,,,,,,,,,166841469
,,,,,,,,,,166580291
,,,,,,,,,,166570481
,,,,,,,,,,166907938
,,,,,,,,,,166845949
2,3,3,3,5,3,1,1,2,2,166587241
,,,,,,,,,,166578693
1,3,4,2,3,4,1,3,1,3,166569514
,,,,,,,,,,166568847
3,2,2,4,4,3,1,1,1,1,166583624
2,3,4,3,2,4,1,1,1,1,166858042
,,,,,,,,,,166791226
,,,,,,,,,,166791226
,,,,,,,,,,166791226
,,,,,,,,,,166791226
3,4,4,4,2,2,1,1,1,1,166765691
,,,,,,,,,,166689847
2,3,2,4,4,3,2,4,2,4,166841017
,,,,,,,,,,166580216
3,4,5,4,3,4,1,2,2,2,166843964
,,,,,,,,,,166848865
3,4,3,4,4,4,5,5,4,2,166840589
2,3,3,4,4,3,1,1,2,1,166709806
,,,,,,,,,,166838981
2,2,4,3,5,5,2,3,3,3,166579099
,,,,,,,,,,166651483
5,5,3,5,5,2,5,5,5,4,166571644
2,2,1,3,2,1,2,2,2,2,166585473
1,3,2,4,4,2,4,4,4,3,166932287
,,,,,,,,,,167158156
1,2,2,2,4,3,2,2,2,2,166568718
3,4,4,4,4,4,3,4,6,6,166667423
,,,,,,,,,,166842057
,,,,,,,,,,166859903
,,,,,,,,,,166927105
,,,,,,,,,,166584387
,,,,,,,,,,166798532
2,2,2,3,4,1,1,1,2,2,166795957
,,,,,,,,,,166650143
2,1,2,1,1,4,1,1,1,1,166851127
,,,,,,,,,,166840080
,,,,,,,,,,166853130
,,,,,,,,,,166687563
1,2,2,2,1,2,1,1,1,1,166853909
2,3,4,4,2,5,2,1,1,1,166572622
1,2,1,1,1,1,2,2,2,2,166854396
,,,,,,,,,,166568972
,,,,,,,,,,166980301
1,2,3,2,3,3,6,5,6,5,166584546
3,3,2,3,4,1,2,2,2,2,166856764
,,,,,,,,,,166854349
,,,,,,,,,,166580579
3,2,2,4,2,2,2,1,1,1,166794760
,,,,,,,,,,166847858
,,,,,,,,,,166994864
3,4,3,4,4,2,4,2,2,2,166847264
,,,,,,,,,,166840028
,,,,,,,,,,166584371
,,,,,,,,,,166692811
,,,,,,,,,,166847459
2,3,3,4,4,4,2,2,3,3,166845048
3,4,2,4,4,4,1,1,1,1,166579346
3,4,4,4,5,3,2,3,2,2,166843609
,,,,,,,,,,166857335
,,,,,,,,,,166849673
,,,,,,,,,,166830877
,,,,,,,,,,166925823
1,4,4,4,3,5,3,3,4,5,166847425
2,2,2,3,3,3,4,4,3,3,166854131
,,,,,,,,,,166859737
,,,,,,,,,,166715031
1,1,1,1,1,2,1,1,1,1,166584501
,,,,,,,,,,166579496
,,,,,,,,,,166841032
,,,,,,,,,,166849510
2,3,3,3,3,3,2,2,2,2,166992105
2,2,1,1,1,3,3,2,2,2,166856828
1,3,2,2,4,1,2,2,2,2,166782894
,,,,,,,,,,166902671
,,,,,,,,,,166926579
,,,,,,,,,,166688298
,,,,,,,,,,166767425
2,3,2,4,4,4,4,3,3,3,166688276
,,,,,,,,,,166857153
5,5,5,4,2,5,6,6,5,6,166833261
3,4,3,4,4,4,2,3,3,2,166771258
3,,,,3,3,4,4,4,4,166839987
2,2,3,2,2,4,1,1,2,1,166647306
,,,,,,,,,,166839975
,,,,,,,,,,166857140
3,4,5,5,2,4,2,2,2,4,166714414
3,2,2,4,2,2,2,2,3,2,166860822
,,,,,,,,,,166798037
,,,,,,,,,,166855797
2,3,2,3,3,2,2,2,2,2,166581043
2,3,4,2,5,4,1,1,4,4,166583580
,,,,,,,,,,166839978
,,,,,,,,,,166570313
,,,,,,,,,,166855196
,,,,,,,,,,166572327
,,,,,,,,,,166715805
,,,,,,,,,,166854825
,,,,,,,,,,166844788
,,,,,,,,,,166661099
2,4,3,4,4,3,3,3,4,3,166649099
5,5,4,5,5,5,4,4,5,5,166924748
4,4,3,5,4,3,1,1,4,5,166684615
,,,,,,,,,,166979631
,,,,,,,,,,166860115
5,5,5,5,4,5,3,4,3,3,166571073
,,,,,,,,,,167154871
2,4,4,4,3,4,2,2,2,2,166844353
,,,,,,,,,,166655198
,,,,,,,,,,166856125
,,,,,,,,,,166681492
,,,,,,,,,,166714892
,,,,,,,,,,166832658
,,,,,,,,,,166652389
2,4,4,5,4,5,3,3,4,3,166656825
,,,,,,,,,,166849168
4,4,3,4,2,4,2,2,3,2,166784380
,,,,,,,,,,166941397
,,,,,,,,,,166820880
3,3,4,2,3,2,2,2,2,2,166569496
,,,,,,,,,,166851143
3,3,4,4,4,4,3,4,3,4,166683845
3,4,5,4,5,5,1,1,1,1,166784178
,,,,,,,,,,166846599
2,4,3,4,4,4,3,2,2,3,166643074
2,4,4,4,5,4,1,1,4,4,166841288
,,,,,,,,,,166719948
1,2,1,2,3,2,1,1,1,1,166861013
2,3,2,2,4,4,2,2,2,2,166667477
2,4,2,4,4,3,1,1,1,1,166848476
3,4,2,4,5,2,2,3,4,4,166569131
4,4,3,5,4,4,5,5,5,5,166585088
,,,,,,,,,,166856139
3,4,3,3,5,5,1,1,3,1,166708096
1,2,4,2,2,2,1,1,1,1,166585283
,,,,,,,,,,166857633
,,,,,,,,,,166787905
,,,,,,,,,,166860023
,,,,,,,,,,166929097
4,5,5,5,5,5,4,2,4,2,166846076
,,,,,,,,,,166687285
,,,,,,,,,,166572755
,,,,,,,,,,166844355
1,1,1,1,3,1,2,2,2,2,166575886
3,4,4,4,4,4,5,5,5,5,167037822
,,,,,,,,,,166853709
,,,,,,,,,,166710678
2,3,5,2,3,4,4,4,4,4,166856753
,,,,,,,,,,166820823
2,2,2,3,4,4,1,1,1,1,166577507
,,,,,,,,,,166568943
,,,,,,,,,,166679616
,,,,,,,,,,166763423
2,4,3,4,3,5,4,4,4,4,166852196
,,,,,,,,,,166630975
,,,,,,,,,,166851682
,,,,,,,,,,166851693
,,,,,,,,,,166586171
2,3,3,2,4,2,2,2,2,2,166568649
,,,,,,,,,,166907352
,,,,,,,,,,166581333
4,4,3,3,2,4,1,3,3,4,166670269
,,,,,,,,,,166570487
1,1,1,1,3,1,2,2,2,2,166793650
2,3,2,4,5,3,3,3,3,3,166854195
2,2,1,3,4,4,2,2,2,2,166859844
,,,,,,,,,,166957050
4,2,2,4,2,4,2,3,2,2,166820069
1,1,1,2,1,1,1,1,1,1,166665189
2,4,4,4,5,5,5,5,5,5,166920488
3,4,5,4,3,4,2,1,4,4,166941617
,,,,,,,,,,166853964
,,,,,,,,,,167123669
,,,,,,,,,,166652909
,,,,,,,,,,166858366
,,,,,,,,,,166796086
,,,,,,,,,,166568658
1,3,4,4,2,3,3,4,3,2,166857155
2,4,4,4,2,3,2,2,2,2,166687717
,,,,,,,,,,166775423
,,,,,,,,,,166578760
4,5,4,5,5,4,2,2,2,3,166795049
,,,,,,,,,,166854449
2,2,2,4,4,2,1,1,1,1,166709363
,,,,,,,,,,166653682
,,,,,,,,,,166840015
2,2,4,4,4,2,2,2,2,3,166570998
,,,,,,,,,,166839982
4,4,4,3,2,4,3,4,3,4,166718738
,,,,,,,,,,166845182
,,,,,,,,,,167133364
,,,,,,,,,,166829627
1,2,3,2,3,3,3,1,2,2,166568973
2,3,4,4,4,4,3,3,3,2,166846557
3,4,5,4,5,4,5,5,6,5,166783536
2,1,5,2,1,5,1,2,1,1,166839973
1,2,2,2,1,2,2,2,2,2,166801755
1,1,1,1,1,1,2,2,2,2,166839964
3,3,3,3,4,5,3,3,4,3,166839977
2,4,2,3,4,1,1,1,1,1,166937700
,,,,,,,,,,166568651
,,,,,,,,,,166846885
,,,,,,,,,,166839971
2,5,3,4,3,4,2,2,2,2,166840527
,,,,,,,,,,166694999
3,1,1,1,2,2,1,2,1,1,166803146
3,3,3,3,3,4,6,6,6,6,166634560
